City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,70.32,30,20,10.36,few clouds
1,Dikson,RU,73.5069,80.5464,26.44,94,16,6.4,few clouds
2,New Norfolk,AU,-42.7826,147.0587,42.91,83,80,1.88,light rain
3,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,10.36,overcast clouds
4,Kapoeta,SS,4.7717,33.5903,81.36,37,20,10.98,few clouds
5,Saskylakh,RU,71.9167,114.0833,32.77,94,100,10.31,snow
6,Provideniya,RU,64.3833,-173.3,49.53,53,79,3.83,broken clouds
7,Quisqueya,DO,18.5554,-69.4081,89.49,53,53,12.84,broken clouds
8,Harper,LR,4.375,-7.7169,79.02,82,100,5.08,overcast clouds
9,Tiksi,RU,71.6872,128.8694,48.56,78,91,8.97,light rain
10,Busselton,AU,-33.65,115.3333,56.41,79,67,7.31,broken clouds
11,East London,ZA,-33.0153,27.9116,58.14,88,0,11.5,clear sky
12,Tuban,ID,-6.8976,112.0649,78.03,86,100,5.21,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,57.18,89,63,4.0,broken clouds
14,Stornoway,GB,58.2093,-6.3865,58.93,77,95,11.5,overcast clouds
15,Airai,TL,-8.9266,125.4092,59.49,93,97,1.41,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,58.15,90,98,3.69,overcast clouds
17,Kapaa,US,22.0752,-159.319,76.98,85,20,8.05,few clouds
18,Hermanus,ZA,-34.4187,19.2345,59.81,88,100,5.64,overcast clouds
19,Bethel,US,41.3712,-73.414,83.28,40,0,10.36,clear sky
20,Rikitea,PF,-23.1203,-134.9692,75.69,74,99,10.98,overcast clouds
21,Parabel,RU,58.6978,81.4825,35.51,93,100,9.4,overcast clouds
22,Clyde River,CA,70.4692,-68.5914,32.23,86,100,9.22,overcast clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,57.22,68,20,12.66,light rain
24,Fort Dodge,US,42.4975,-94.168,75.02,60,40,12.66,scattered clouds
25,Kuah,MY,6.3265,99.8432,80.58,83,20,1.14,very heavy rain
26,Ushuaia,AR,-54.8,-68.3,38.82,65,20,2.3,few clouds
27,Kholodnyy,RU,62.7167,147.95,54.34,75,47,3.22,scattered clouds
28,Mehamn,NO,71.0357,27.8492,48.11,96,100,9.04,overcast clouds
29,Hasaki,JP,35.7333,140.8333,63.28,66,66,5.68,light rain
30,Mataura,NZ,-46.1927,168.8643,34.48,82,97,3.51,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,57.78,95,83,4.88,broken clouds
32,Geraldton,AU,-28.7667,114.6,52.21,62,100,9.22,overcast clouds
33,Asau,RO,46.4333,26.4,67.28,91,97,3.65,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,62.11,85,20,13.8,few clouds
35,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,20.71,mist
36,Pedernales,DO,18.0384,-71.744,87.53,62,37,13.18,scattered clouds
37,Vidim,RU,56.4088,103.1106,48.02,65,43,2.57,scattered clouds
38,Bluff,NZ,-46.6,168.3333,34.81,73,99,7.81,overcast clouds
39,Olafsvik,IS,64.8945,-23.7142,44.42,65,2,9.13,clear sky
40,Iqaluit,CA,63.7506,-68.5145,47.93,61,20,3.44,few clouds
41,Yumen,CN,40.2833,97.2,68.68,18,52,6.73,broken clouds
42,Gigmoto,PH,13.7796,124.39,80.64,81,51,3.69,broken clouds
43,Kloulklubed,PW,7.0419,134.2556,73.9,75,15,6.87,few clouds
44,Richards Bay,ZA,-28.783,32.0377,63.32,60,0,4.05,clear sky
45,Vardo,NO,70.3705,31.1107,42.78,100,100,2.3,overcast clouds
46,Castro,BR,-24.7911,-50.0119,58.33,78,93,6.67,overcast clouds
47,Cap Malheureux,MU,-19.9842,57.6142,73.47,71,43,8.99,scattered clouds
48,Alyangula,AU,-13.8483,136.4192,76.03,85,69,8.1,broken clouds
49,El Alto,PE,-4.2714,-81.2147,76.66,62,90,16.31,overcast clouds
50,Souillac,MU,-20.5167,57.5167,73.78,73,40,14.97,light rain
51,Port Elizabeth,ZA,-33.918,25.5701,61.32,83,0,13.8,clear sky
52,Meiganga,CM,6.5167,14.3,63.43,97,99,3.2,overcast clouds
53,Namibe,AO,-15.1961,12.1522,77.23,48,38,8.48,scattered clouds
54,Crowley,US,30.2141,-92.3746,89.67,75,24,3.85,few clouds
55,Severo-Kurilsk,RU,50.6789,156.125,41.05,92,77,6.29,broken clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,82,9.8,broken clouds
57,Saint George,US,37.1041,-113.5841,91.44,13,0,8.05,clear sky
58,Ponta Do Sol,PT,32.6667,-17.1,69.71,74,41,3.85,scattered clouds
59,Huangnihe,CN,43.5583,128.0239,47.35,99,100,7.36,overcast clouds
60,Albany,US,42.6001,-73.9662,78.64,45,17,3.0,few clouds
61,Bosconia,CO,9.9689,-73.8836,83.93,68,100,7.09,overcast clouds
62,La Romana,DO,18.4273,-68.9728,88.16,74,20,17.27,few clouds
63,Vaini,TO,-21.2,-175.2,68.16,100,40,4.61,scattered clouds
64,Solwezi,ZM,-12.1688,26.3894,55.09,65,5,4.09,clear sky
65,Barrow,US,71.2906,-156.7887,28.42,86,100,25.32,overcast clouds
66,Chara,RU,56.9064,118.2631,55.89,71,100,2.66,overcast clouds
67,Atuona,PF,-9.8,-139.0333,78.1,76,19,18.1,few clouds
68,Kodiak,US,57.79,-152.4072,72.91,23,0,11.5,clear sky
69,Khash,IR,28.2211,61.2158,74.46,17,0,16.6,clear sky
70,Eureka,US,40.8021,-124.1637,65.59,91,100,7.07,overcast clouds
71,Qaanaaq,GL,77.484,-69.3632,28.71,77,92,5.17,overcast clouds
72,Chapais,CA,49.7834,-74.8492,58.78,52,100,5.75,overcast clouds
73,Beloha,MG,-25.1667,45.05,67.01,79,14,14.45,few clouds
74,Shirokiy,RU,49.758,129.523,45.27,87,7,5.32,clear sky
75,Upernavik,GL,72.7868,-56.1549,31.53,72,41,16.64,scattered clouds
76,Butaritari,KI,3.0707,172.7902,80.73,69,31,9.08,scattered clouds
77,Meadow Lake,US,34.8014,-106.5436,85.6,9,26,11.01,scattered clouds
78,Ballina,AU,-28.8667,153.5667,52.02,85,94,4.52,overcast clouds
79,Hobart,AU,-42.8794,147.3294,43.27,90,40,3.44,moderate rain
80,Hervey Bay,AU,-25.2986,152.8535,54.01,85,6,3.0,clear sky
81,Mayahi,NE,13.9553,7.6712,94.66,9,28,5.53,scattered clouds
82,Klaksvik,FO,62.2266,-6.589,49.12,84,98,8.01,light rain
83,Ust-Maya,RU,60.4167,134.5333,56.14,60,38,0.43,scattered clouds
84,Torbay,CA,47.6666,-52.7314,52.29,76,100,11.5,overcast clouds
85,Bereda,ES,43.2686,-7.5406,62.42,97,40,3.44,scattered clouds
86,Darhan,MN,49.4867,105.9228,51.15,70,88,0.22,overcast clouds
87,Vanavara,RU,60.34,102.2797,39.97,95,98,1.14,overcast clouds
88,Huanren,CN,41.2647,125.3667,60.13,94,100,6.67,overcast clouds
89,Jamestown,US,42.097,-79.2353,66.06,26,0,6.91,clear sky
90,Tsumeb,NA,-19.2333,17.7167,59.31,39,29,9.44,scattered clouds
91,Khatanga,RU,71.9667,102.5,27.32,91,100,14.85,light snow
92,College,US,64.8569,-147.8028,69.01,43,75,5.75,broken clouds
93,Bardiyah,LY,31.7561,25.0865,75.31,67,0,4.05,clear sky
94,Leningradskiy,RU,69.3833,178.4167,33.98,73,96,5.12,overcast clouds
95,Komsomolskiy,UZ,40.4272,71.7189,72.32,33,0,4.61,clear sky
96,Severnyy,RU,50.677,36.5532,64.44,55,0,6.71,clear sky
97,Hofn,IS,64.2539,-15.2082,47.97,58,22,6.49,few clouds
98,Sinnamary,GF,5.3833,-52.95,82.53,79,40,8.52,scattered clouds
99,Campina Grande Do Sul,BR,-25.3056,-49.0553,62.53,67,90,4.54,overcast clouds
100,Saldanha,ZA,-33.0117,17.9442,57.25,87,98,11.68,overcast clouds
101,Fortuna,US,40.5982,-124.1573,65.32,55,40,20.71,scattered clouds
102,Mazagao,BR,-0.115,-51.2894,89.13,50,62,4.25,broken clouds
103,Hilo,US,19.7297,-155.09,86.29,94,100,3.0,overcast clouds
104,Norman Wells,CA,65.282,-126.8329,46.44,71,75,4.61,broken clouds
105,Tuatapere,NZ,-46.1333,167.6833,43.23,83,100,4.7,overcast clouds
106,Olinda,BR,-8.0089,-34.8553,76.73,88,75,2.3,broken clouds
107,Uige,AO,-7.6087,15.0613,70.83,43,27,3.38,scattered clouds
108,Flagstaff,US,35.1981,-111.6513,76.3,20,0,12.66,clear sky
109,Rawson,AR,-43.3002,-65.1023,54.9,48,99,14.32,overcast clouds
110,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,48,0,9.22,clear sky
111,Chuy,UY,-33.6971,-53.4616,59.13,63,100,11.07,overcast clouds
112,Pisco,PE,-13.7,-76.2167,68.05,73,0,8.05,clear sky
113,Pevek,RU,69.7008,170.3133,30.78,97,100,10.51,light snow
114,Inhambane,MZ,-23.865,35.3833,68.27,77,3,7.02,clear sky
115,Hambantota,LK,6.1241,81.1185,80.94,94,20,10.36,few clouds
116,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,94,40,19.73,light rain
117,Avarua,CK,-21.2078,-159.775,77.05,88,40,13.8,scattered clouds
118,Kruisfontein,ZA,-34.0033,24.7314,55.89,78,100,9.22,overcast clouds
119,Acarau,BR,-2.8856,-40.12,81.95,72,58,7.65,broken clouds
120,Lompoc,US,34.6391,-120.4579,68.85,83,100,11.99,overcast clouds
121,Paignton,GB,50.4357,-3.5679,65.16,89,98,5.01,overcast clouds
122,Cidreira,BR,-30.1811,-50.2056,62.13,75,3,17.36,clear sky
123,Cabo San Lucas,MX,22.8909,-109.9124,88.9,50,0,8.05,clear sky
124,Cotonou,BJ,6.3654,2.4183,82.38,78,20,8.05,few clouds
125,Tuensang,IN,26.2833,94.8333,66.16,95,54,3.18,broken clouds
126,Chokurdakh,RU,70.6333,147.9167,42.46,52,97,11.12,overcast clouds
127,Amapa,BR,1.0,-52.0,84.13,68,99,2.53,overcast clouds
128,Punta Arenas,CL,-53.15,-70.9167,41.11,65,40,21.85,scattered clouds
129,Hami,CN,42.8,93.45,76.87,12,30,6.11,scattered clouds
130,Mahebourg,MU,-20.4081,57.7,73.69,73,40,14.97,scattered clouds
131,Flin Flon,CA,54.7682,-101.865,51.64,66,75,8.05,broken clouds
132,Vestmannaeyjar,IS,63.4427,-20.2734,47.93,61,29,5.59,scattered clouds
133,Victoria,HK,22.2855,114.1577,85.17,82,100,13.0,overcast clouds
134,Verkhnyaya Inta,RU,65.9811,60.3094,46.4,40,8,8.93,clear sky
135,Sitka,US,57.0531,-135.33,55.29,76,75,20.71,broken clouds
136,Pemangkat,ID,1.1667,108.9667,78.75,81,62,2.77,broken clouds
137,Macenta,GN,8.5435,-9.471,83.32,61,44,3.76,scattered clouds
138,Koslan,RU,63.4564,48.8989,60.51,37,13,8.39,few clouds
139,Pangnirtung,CA,66.1451,-65.7125,44.6,70,20,8.05,few clouds
140,Vanimo,PG,-2.6741,141.3028,76.17,89,100,3.83,overcast clouds
141,Biak,ID,-0.9131,122.8766,75.67,85,99,2.06,overcast clouds
142,Zdvinsk,RU,54.7021,78.661,41.32,62,12,4.34,few clouds
143,Manicore,BR,-5.8092,-61.3003,85.95,70,75,3.44,broken clouds
144,Nador,MA,35.174,-2.9287,77.07,46,20,16.11,few clouds
145,Hithadhoo,MV,-0.6,73.0833,84.0,69,73,8.93,broken clouds
146,Deputatskiy,RU,69.3,139.9,44.35,83,55,3.89,broken clouds
147,Mayo,US,38.8876,-76.5119,86.41,41,0,4.0,clear sky
148,Nanortalik,GL,60.1432,-45.2371,46.31,53,52,4.85,broken clouds
149,San Cristobal,VE,7.7669,-72.225,71.55,83,99,4.79,overcast clouds
150,Marsh Harbour,BS,26.5412,-77.0636,75.2,86,100,22.5,light rain
151,Talnakh,RU,69.4865,88.3972,29.21,71,100,14.0,overcast clouds
152,Haines Junction,CA,60.7522,-137.5108,67.95,37,89,1.14,overcast clouds
153,Koutsouras,GR,35.0339,25.9469,78.12,60,7,4.72,clear sky
154,Mirador,BR,-6.3708,-44.3631,76.82,87,100,3.76,overcast clouds
155,Plettenberg Bay,ZA,-34.0527,23.3716,59.49,73,100,6.76,overcast clouds
156,Itigi,TZ,-5.7,34.4833,63.73,54,14,5.59,few clouds
157,Korla,CN,41.7597,86.1469,72.72,32,69,9.01,broken clouds
158,Indaial,BR,-26.8978,-49.2317,68.61,78,60,3.49,broken clouds
159,Albanel,CA,48.8832,-72.4487,62.74,67,71,12.66,broken clouds
160,Changji,CN,44.0167,87.3167,65.19,68,0,6.71,clear sky
161,Codrington,AU,-38.2667,141.9667,48.79,81,97,19.06,overcast clouds
162,Esperance,AU,-33.8667,121.9,56.46,71,98,21.43,overcast clouds
163,Batagay-Alyta,RU,67.8006,130.4114,52.75,61,27,4.76,scattered clouds
164,Ilhabela,BR,-23.7781,-45.3581,66.15,87,98,7.65,overcast clouds
165,Monte Carmelo,BR,-18.7247,-47.4986,82.47,37,37,5.1,scattered clouds
166,Byron Bay,AU,-28.65,153.6167,51.94,76,98,3.47,overcast clouds
167,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,35,15.77,light rain
168,Lasa,IT,46.6166,10.7002,74.28,83,96,1.79,overcast clouds
169,Barbastro,ES,42.0356,0.1269,80.78,45,33,5.21,scattered clouds
170,Rusape,ZW,-18.5278,32.1284,52.03,88,51,5.28,broken clouds
171,Anloga,GH,5.7947,0.8973,82.49,77,96,11.74,overcast clouds
172,Aklavik,CA,68.2191,-135.0107,33.8,86,100,6.91,light snow
173,Omboue,GA,-1.5746,9.2618,75.52,86,85,6.62,overcast clouds
174,Krasnyy Chikoy,RU,50.3643,108.7512,50.36,98,100,3.4,light rain
175,Coruripe,BR,-10.1256,-36.1756,79.59,79,80,10.56,broken clouds
176,Chicama,PE,-7.8447,-79.1469,63.14,55,89,9.6,overcast clouds
177,Huilong,CN,31.8111,121.655,74.93,98,100,6.42,heavy intensity rain
178,Omsukchan,RU,62.5333,155.8,49.87,82,59,5.97,broken clouds
179,Lebu,CL,-37.6167,-73.65,51.28,96,100,10.07,light rain
180,Mogapi,BW,-22.323,27.8349,56.16,56,0,3.8,clear sky
181,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,13.8,broken clouds
182,Santa Maria Del Oro,MX,25.9333,-105.3667,83.43,26,5,2.48,clear sky
183,Xudat,AZ,41.631,48.681,68.05,63,31,0.56,scattered clouds
184,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,63,94,16.98,overcast clouds
185,Evensk,RU,61.95,159.2333,42.91,93,100,3.09,light rain
186,Grand Gaube,MU,-20.0064,57.6608,73.8,71,45,8.99,scattered clouds
187,Lagoa,PT,39.05,-27.9833,65.28,87,86,26.06,overcast clouds
188,Waingapu,ID,-9.6567,120.2641,78.08,85,96,2.86,overcast clouds
189,Palmas Bellas,PA,9.2319,-80.0867,85.77,75,57,3.67,broken clouds
190,Mount Isa,AU,-20.7333,139.5,56.97,77,91,3.44,overcast clouds
191,Srednekolymsk,RU,67.45,153.6833,41.65,49,19,10.85,few clouds
192,Losevo,RU,50.6767,40.045,60.17,82,11,7.63,few clouds
193,Grindavik,IS,63.8424,-22.4338,46.87,76,0,12.66,clear sky
194,Ilulissat,GL,69.2167,-51.1,41.02,65,20,5.75,few clouds
195,Chilca,PE,-12.5211,-76.7372,66.65,78,100,8.99,overcast clouds
196,Fort Smith,US,35.3859,-94.3986,83.37,43,0,4.0,clear sky
197,Xuddur,SO,4.1213,43.8894,77.99,62,84,18.07,broken clouds
198,Berlevag,NO,70.8578,29.0864,48.15,87,100,14.97,overcast clouds
199,Faya,SA,18.3851,42.4509,75.31,24,32,8.5,scattered clouds
200,Laguna,US,38.421,-121.4238,73.76,47,100,8.05,overcast clouds
201,Nabire,ID,-3.3667,135.4833,73.85,93,100,3.71,overcast clouds
202,Launceston,AU,-41.45,147.1667,51.8,97,75,11.5,light rain
203,Cayenne,GF,4.9333,-52.3333,87.84,4,0,12.66,clear sky
204,Antofagasta,CL,-23.65,-70.4,67.21,58,95,3.15,overcast clouds
205,Guerrero Negro,MX,27.9769,-114.0611,68.59,64,71,16.62,broken clouds
206,Luau,AO,-10.7073,22.2247,64.33,50,1,5.55,clear sky
207,Nantucket,US,41.2835,-70.0995,64.54,84,100,6.91,overcast clouds
208,Adrar,MR,20.5022,-10.0711,100.65,11,53,18.63,broken clouds
209,Moerai,PF,-22.4333,-151.3333,75.88,78,78,23.44,broken clouds
210,Nome,US,64.5011,-165.4064,62.17,37,0,8.05,clear sky
211,Umm Lajj,SA,25.0213,37.2685,85.48,56,54,7.02,broken clouds
212,Rio Gallegos,AR,-51.6226,-69.2181,39.99,58,44,13.47,scattered clouds
213,Yakeshi,CN,49.2833,120.7333,52.12,77,100,16.82,overcast clouds
214,Urubicha,BO,-15.3833,-62.95,88.97,39,58,4.41,broken clouds
215,Kavaratti,IN,10.5669,72.642,83.35,76,77,15.57,broken clouds
216,La Ronge,CA,55.1001,-105.2842,61.05,29,20,5.75,few clouds
217,Scarborough,GB,54.2797,-0.4044,51.93,76,41,4.0,scattered clouds
218,Natitingou,BJ,10.3042,1.3796,82.62,62,97,4.99,light rain
219,Doha,QA,25.2867,51.5333,91.71,62,0,6.91,clear sky
220,Las Palmas,ES,28.4204,-14.0131,68.79,73,40,19.57,scattered clouds
221,Nuuk,GL,64.1835,-51.7216,59.61,26,0,5.75,clear sky
222,Udachnyy,RU,66.4167,112.4,43.45,60,5,8.5,clear sky
223,Malaya Purga,RU,56.5567,53.0043,58.5,98,100,3.36,overcast clouds
224,Tomball,US,30.0972,-95.6161,90.95,61,63,1.99,broken clouds
225,Peniche,PT,39.3558,-9.3811,69.3,84,12,8.03,few clouds
226,Dengfeng,CN,34.4553,113.0281,69.94,71,100,6.89,overcast clouds
227,Mvuma,ZW,-19.2792,30.5283,56.44,63,95,5.86,overcast clouds
228,Mattru,SL,7.6244,-11.8332,79.56,83,96,5.57,light rain
229,Saint-Augustin,CA,51.226,-58.6502,50.22,63,98,18.19,overcast clouds
230,Georgetown,MY,5.4112,100.3354,82.33,86,40,2.3,scattered clouds
231,San Quintin,MX,30.4833,-115.95,68.13,69,72,18.43,broken clouds
232,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,74,75,14.97,broken clouds
233,Porto De Moz,BR,-1.7483,-52.2383,87.15,59,99,4.12,overcast clouds
234,Illapel,CL,-31.6308,-71.1653,67.21,28,100,7.61,moderate rain
235,Bengkulu,ID,-3.8004,102.2655,75.76,89,100,3.18,moderate rain
